vehicle_id,lane,frame,timestamp
2677,3,6955,231.833
2686,3,7011,233.7
2757,1,7047,234.9
2725,3,7103,236.767
2769,1,7121,237.367
2774,1,7188,239.6
2751,3,7196,239.867
2799,3,7196,239.867
2789,1,7257,241.9
2790,2,7274,242.467
2804,2,7333,244.433
2834,1,7435,247.833
2767,3,7493,249.767
2850,1,7507,250.233
2900,3,7510,250.333
2887,1,7546,251.533
2864,1,7567,252.233
2907,1,7595,253.167
2895,2,7597,253.233
2916,1,7641,254.7
2892,2,7653,255.1
2814,3,7700,256.667
3012,1,7710,257.0
2940,1,7711,257.033
2988,1,7751,258.367
2971,2,7768,258.933
3001,1,7831,261.033
3026,2,7869,262.3
3064,1,7893,263.1
3051,1,7917,263.9
3073,1,7919,263.967
3044,2,7935,264.5
3061,1,7956,265.2
3038,3,7976,265.867
3060,1,7997,266.567
3103,1,8058,268.6
3090,2,8059,268.633
3062,3,8075,269.167
3110,1,8144,271.467
3107,3,8176,272.533
3181,1,8182,272.733
3216,1,8182,272.733
3187,1,8206,273.533
3198,2,8235,274.5
3149,3,8237,274.567
3220,1,8270,275.667
3233,1,8325,277.5
3264,2,8353,278.433
3240,3,8382,279.4
3297,1,8382,279.4
3269,2,8415,280.5
3258,3,8438,281.267
3279,2,8451,281.7
3290,1,8463,282.1
3275,3,8490,283.0
3318,1,8493,283.1
3291,2,8497,283.233
3370,2,8497,283.233
3347,2,8534,284.467
3326,1,8554,285.133
3278,3,8562,285.4
3383,2,8609,286.967
3394,3,8621,287.367
3384,2,8647,288.233
3390,1,8651,288.367
3331,3,8671,289.033
3462,1,8793,293.1
3444,2,8814,293.8
3474,2,8818,293.933
3412,3,8843,294.767
3449,1,8868,295.6
3482,1,8903,296.767
3490,1,8945,298.167
3499,1,9002,300.067
3497,2,9020,300.667
3487,3,9029,300.967
3519,1,9039,301.3
3590,2,9149,304.967
3537,3,9167,305.567
3630,1,9184,306.133
